model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1931.0814268689,,402.6460190438,,-1463.130333493,,-3444.082596306,-3290.5893116164,-4262.7689015052,-4635.4568759741,-4717.4145046081
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,24246.1301057331,,14286.5761425791,,4570.4977016356,,-4096.2753144429,-8337.5600024316,-10318.6749006773,-11991.887552176,-13191.0491879255
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1927.0370671364,,423.6566674393,,-1445.9866028205,,-3429.711595749,-3275.5441627813,-4253.1144428844,-5020.1044249375,-4838.3995824584
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_15,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,37793.2385559082,,36496.7494710286,,30010.8375956217,,19190.1936941147,8590.4633954366,3029.825981458,-2583.6077782313,-6385.3281043371
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2683.7815663549,,946.1018232904,,-989.5475249647,,-2798.1234777822,-3448.7719965206,-4181.6521642781,-5007.8816120486,-4447.1087476495
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,30163.1296641032,,22352.6890538534,,11566.500289917,,2429.5564786593,-2873.0820620855,-6859.0556366444,-10008.0103751818,-12149.1143976148
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2128.2362082775,,174.5360095919,,-1406.1486725638,,-3381.1061117728,-3494.7863908676,-4120.7784917314,-4851.1481203305,-4275.2346309115
REMIND 2.1,CEMICS_GDPgrowth_1p5,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,28897.6776,22230.8086,16291.6039,11299.5069,7080.1004,2699.2461,-602.9165,-3072.641,-6403.2076,-7912.5473,-8340.6883,-8879.8795
REMIND 2.1,CEMICS_GDPgrowth_1p5,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,3773.0367,,,,,4037.5133,,,,,3990.6167,,,,,3853.41,1096.5533,143.0733,-198.99,-151.47,-79.1267,-72.8567,-72.8933,-63.03,-99.22,-197.5967,-278.41,-266.3467
REMIND 2.1,CEMICS_GDPgrowth_2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,,,,30505.4542,,,,,33285.0803,,,,,34835.0221,,,,,35221.1041,32549.5301,29606.2571,24824.972,20092.3577,16497.9149,13362.6669,10435.8792,7766.0732,3777.1291,1074.3159,-565.1294,-1907.3656
